Game Date,Home Team,Home Team Score,Away Team,Away Team Score,temperature,weather,wind,season,week
9/13/15,Ravens,13,Broncos,19,86 F,Partly Cloudy,5,2015,1
9/7/14,Raiders,14,Jets,19,80 F,Partly Cloudy,3,2014,1
9/13/09,Dolphins,7,Falcons,19,75 F,Overcast,6,2009,1
9/7/23,Lions,21,Chiefs,20,81 F,Clear,9,2023,1
9/10/23,Cardinals,16,Washington,20,75 F,Overcast,3,2023,1
9/10/23,Packers,38,Bears,20,79 F,Partly Cloudy,6,2023,1
9/10/23,Eagles,25,Patriots,20,74 F,Rain,3,2023,1
9/11/22,Steelers,23,Bengals,20,75 F,Mostly Cloudy,4,2022,1
9/11/22,Patriots,7,Dolphins,20,90 F,Humid And Partly Cloudy,10,2022,1
9/11/22,Colts,20,Texans,20,88 F,Clear,8,2022,1
9/11/22,Giants,21,Titans,20,78 F,Humid And Mostly Cloudy,6,2022,1
9/13/20,Cardinals,24,49ers,20,71 F,Clear,6,2020,1
9/13/20,Cowboys,17,Rams,20,74 F,Clear,7,2020,1
9/13/15,Chiefs,27,Texans,20,83 F,Clear,8,2015,1
9/14/15,Vikings,3,49ers,20,64 F,Mostly Cloudy,4,2015,1
9/7/14,Bills,23,Bears,20,77 F,Partly Cloudy,7,2014,1
9/9/12,Seahawks,16,Cardinals,20,95 F,Chance Thunderstorms,12,2012,1
9/11/11,Lions,27,Buccaneers,20,88 F,Partly Cloudy,9,2011,1
9/12/11,Raiders,23,Broncos,20,73 F,Mostly Cloudy,8,2011,1
9/13/09,Vikings,34,Browns,20,70 F,Fair,6,2009,1
9/14/09,Chargers,24,Raiders,20,67 F,Partly Cloudy,19,2009,1
9/10/23,Jaguars,31,Colts,21,72 F,Clear,7,2023,1
9/11/22,Chiefs,44,Cardinals,21,97 F,Clear,3,2022,1
9/13/20,Dolphins,11,Patriots,21,73 F,Clear,6,2020,1
9/8/19,Bengals,20,Seahawks,21,66 F,Overcast,4,2019,1
9/9/18,Steelers,21,Browns,21,59 F,Light Rain,4,2018,1
9/10/17,Jets,12,Bills,21,61 F,Partly Cloudy,6,2017,1
9/8/16,Panthers,20,Broncos,21,82 F,Clear,2,2016,1
9/11/16,Patriots,23,Cardinals,21,100 F,Clear,6,2016,1
9/8/13,Patriots,23,Bills,21,65 F,Partly Cloudy,6,2013,1
9/8/13,Raiders,17,Colts,21,86 F,Mostly Cloudy,5,2013,1
9/13/09,Cowboys,34,Buccaneers,21,85 F,Mostly Cloudy,6,2009,1
9/13/09,Bears,15,Packers,21,80 F,Mostly Cloudy,8,2009,1
9/8/24,Raiders,10,Chargers,22,96 F,Clear,8,2024,1
9/11/16,Bengals,23,Jets,22,80 F,Partly Cloudy,9,2016,1
9/9/12,49ers,30,Packers,22,71 F,Fair,6,2012,1
9/11/22,Packers,7,Vikings,23,72 F,Partly Cloudy,5,2022,1
9/13/20,Bears,27,Lions,23,73 F,Clear,11,2020,1
9/9/18,Bengals,34,Colts,23,59 F,Drizzle,9,2018,1
9/11/16,Bears,14,Texans,23,87 F,Clear,2,2016,1
9/11/16,Packers,27,Jaguars,23,91 F,Partly Cloudy,1,2016,1
9/13/15,Packers,31,Bears,23,68 F,Partly Cloudy,4,2015,1
9/8/13,Falcons,17,Saints,23,90 F,Partly Cloudy,9,2013,1
9/13/09,Washington,17,Giants,23,80 F,Fair,6,2009,1
9/8/24,Titans,17,Bears,24,65 F,Partly Cloudy,11,2024,1
9/10/23,Panthers,10,Falcons,24,82 F,Clear,5,2023,1
9/10/23,Bengals,3,Browns,24,68 F,Rain,8,2023,1
9/11/22,Browns,26,Panthers,24,80 F,Mostly Cloudy,9,2022,1
9/11/22,Raiders,19,Chargers,24,86 F,Clear,7,2022,1
9/9/19,Broncos,16,Raiders,24,64 F,Partly Cloudy,10,2019,1
9/9/18,49ers,16,Vikings,24,68 F,Clear,9,2018,1
9/9/18,Bears,23,Packers,24,60 F,Clear,4,2018,1
9/11/17,Chargers,21,Broncos,24,73 F,Partly Cloudy,3,2017,1
9/11/16,Buccaneers,31,Falcons,24,87 F,Clear,2,2016,1
