Game Date,Home Team,Home Team Score,Away Team,Away Team Score,temperature,weather,wind,season,week
9/30/12,Raiders,6,Broncos,37,73 F,Mostly Cloudy,10,2012,4
10/4/09,Titans,17,Jaguars,37,82 F,Overcast,6,2009,4
10/1/23,Patriots,3,Cowboys,38,90 F,Partly Cloudy,7,2023,4
9/27/18,Vikings,31,Rams,38,83 F,Clear,3,2018,4
9/30/18,Dolphins,7,Patriots,38,66 F,Clear,3,2018,4
9/28/14,Panthers,10,Ravens,38,79 F,Partly Cloudy,0,2014,4
9/28/14,Saints,17,Cowboys,38,79 F,Fair,3,2014,4
9/29/13,Jets,13,Titans,38,68 F,Light Rain,4,2013,4
9/30/13,Dolphins,17,Saints,38,76 F,Overcast,4,2013,4
9/30/12,Titans,14,Texans,38,67 F,Light Drizzle,13,2012,4
10/4/09,Bills,10,Dolphins,38,89 F,Fair,12,2009,4
10/4/09,Chargers,28,Steelers,38,54 F,Overcast,6,2009,4
10/3/21,Texans,0,Bills,40,63 F,Rain,8,2021,4
9/29/19,Buccaneers,55,Rams,40,70 F,Partly Cloudy,6,2019,4
9/29/13,Bears,32,Lions,40,64 F,Fog/Mist,3,2013,4
9/28/14,Titans,17,Colts,41,81 F,Partly Cloudy,0,2014,4
9/28/14,Falcons,28,Vikings,41,80 F,Partly Cloudy,8,2014,4
9/29/14,Patriots,14,Chiefs,41,72 F,Fair,3,2014,4
9/30/24,Seahawks,29,Lions,42,68 F,Clear,3,2024,4
10/2/16,Chiefs,14,Steelers,43,60 F,Rain,0,2016,4
10/2/22,Seahawks,48,Lions,45,60 F,Clear,12,2022,4
9/30/18,Browns,42,Raiders,45,71 F,Clear,2,2018,4
10/1/17,Colts,18,Seahawks,46,57 F,Mostly Cloudy,3,2017,4
10/1/23,Dolphins,20,Bills,48,74 F,Clear,7,2023,4
9/30/18,Buccaneers,10,Bears,48,64 F,Overcast,1,2018,4
10/2/16,Panthers,33,Falcons,48,78 F,Partly Cloudy,0,2016,4
10/4/15,Texans,21,Falcons,48,65 F,Overcast,9,2015,4
10/4/09,Lions,24,Bears,48,52 F,Mostly Cloudy,12,2009,4
10/2/11,Broncos,23,Packers,49,68 F,Fair,8,2011,4
9/29/13,Eagles,20,Broncos,52,73 F,Mostly Cloudy,6,2013,4
10/1/17,Titans,14,Texans,57,84 F,Clear,0,2017,4
10/1/20,Broncos,37,Jets,28,65 F,Mostly Cloudy,4,2020,4
10/4/20,Ravens,31,Washington,17,66 F,Clear,4,2020,4
10/4/20,Chargers,31,Buccaneers,38,75 F,Humid And Overcast,7,2020,4
10/4/20,Seahawks,31,Dolphins,23,86 F,Humid And Mostly Cloudy,13,2020,4
10/4/20,Vikings,31,Texans,23,79 F,Clear,2,2020,4
10/4/20,Saints,35,Lions,29,52 F,Light Rain,5,2020,4
10/4/20,Browns,49,Cowboys,38,73 F,Clear,11,2020,4
10/4/20,Jaguars,25,Bengals,33,66 F,Partly Cloudy,8,2020,4
10/4/20,Colts,19,Bears,11,49 F,Partly Cloudy,12,2020,4
10/4/20,Cardinals,31,Panthers,21,65 F,Clear,5,2020,4
10/4/20,Giants,9,Rams,17,88 F,Clear,3,2020,4
10/4/20,Bills,30,Raiders,23,91 F,Clear,4,2020,4
10/4/20,Eagles,25,49ers,20,84 F,Clear,6,2020,4
10/5/20,Patriots,10,Chiefs,26,70 F,Clear,11,2020,4
10/5/20,Falcons,16,Packers,30,53 F,Clear,12,2020,4
10/3/10,Jets,38,Bills,14,48 F,Light Rain,10,2010,4
10/3/10,Seahawks,3,Rams,20,54 F,Partly Cloudy,9,2010,4
10/3/10,Panthers,14,Saints,16,69 F,Fair,10,2010,4
10/3/10,Lions,26,Packers,28,52 F,A Few Clouds,10,2010,4
10/3/10,Bengals,20,Browns,23,52 F,Overcast,8,2010,4
10/3/10,Ravens,17,Steelers,14,51 F,Overcast,3,2010,4
10/3/10,Broncos,26,Titans,20,53 F,Overcast,11,2010,4
10/3/10,49ers,14,Falcons,16,65 F,Partly Cloudy,13,2010,4
10/3/10,Colts,28,Jaguars,31,81 F,A Few Clouds,15,2010,4
10/3/10,Texans,31,Raiders,24,67 F,Mostly Cloudy,9,2010,4
10/3/10,Washington,17,Eagles,12,62 F,Mostly Cloudy,16,2010,4
10/3/10,Cardinals,10,Chargers,41,70 F,Overcast With Haze,8,2010,4
10/3/10,Bears,3,Giants,17,59 F,Partly Cloudy,12,2010,4
10/4/10,Patriots,41,Dolphins,14,81 F,Fair,15,2010,4
10/8/23,Saints,34,Patriots,0,61 F,Clear,13,2023,5
11/14/24,Washington,7,Eagles,0,46 F,Overcast,13,2010,5
10/7/12,Bears,41,Jaguars,3,83 F,Fair,N/A,2012,5
10/11/09,Browns,6,Bills,3,45 F,A Few Clouds,11,2009,5
10/9/22,Texans,13,Jaguars,6,81 F,Clear,5,2022,5
10/11/15,Patriots,30,Cowboys,6,92 F,Clear,11,2015,5
10/7/12,Ravens,9,Chiefs,6,53 F,Fair,N/A,2012,5
10/6/19,Patriots,33,Washington,7,70 F,Overcast,6,2019,5
10/6/19,Bills,14,Titans,7,76 F,Drizzle,3,2019,5
10/6/22,Colts,12,Broncos,9,70 F,Foggy,3,2022,5
10/10/21,Bears,20,Raiders,9,73 F,Clear,3,2021,5
10/8/17,Jaguars,30,Steelers,9,71 F,Mostly Cloudy,4,2017,5
10/5/14,Steelers,17,Jaguars,9,73 F,Fair,4,2014,5
10/11/09,Colts,31,Titans,9,60 F,Mostly Cloudy,4,2009,5
10/6/24,Dolphins,15,Patriots,10,64 F,Partly Cloudy,3,2024,5
10/9/22,Cowboys,22,Rams,10,74 F,Clear,6,2022,5
10/6/19,Vikings,28,Giants,10,67 F,Overcast,5,2019,5
10/8/17,Seahawks,16,Rams,10,75 F,Clear,4,2017,5
10/9/16,Washington,16,Ravens,10,61 F,Partly Cloudy,12,2016,5
10/11/15,Broncos,16,Raiders,10,76 F,Clear,8,2015,5
10/11/09,Vikings,38,Rams,10,45 F,Partly Cloudy,4,2009,5
10/11/09,Falcons,45,49ers,10,58 F,Overcast,9,2009,5
10/7/18,Ravens,9,Browns,12,70 F,Foggy,2,2018,5
10/7/12,Seahawks,16,Panthers,12,56 F,Overcast,N/A,2012,5
10/6/19,Broncos,20,Chargers,13,80 F,Clear,5,2019,5
10/6/19,Colts,19,Chiefs,13,58 F,Clear,0,2019,5
10/7/18,Titans,12,Bills,13,65 F,Overcast,3,2018,5
10/9/16,Patriots,33,Browns,13,57 F,Partly Cloudy,9,2016,5
10/11/15,Bills,14,Titans,13,72 F,Partly Cloudy,2,2015,5
10/6/13,Patriots,6,Bengals,13,74 F,Mostly Cloudy,16,2013,5
10/7/12,Dolphins,17,Bengals,13,51 F,Mostly Cloudy,7,2012,5
10/8/23,Eagles,23,Rams,14,73 F,Clear,7,2023,5
10/5/17,Patriots,19,Buccaneers,14,77 F,Partly Cloudy,4,2017,5
10/8/17,Jets,17,Browns,14,68 F,Mostly Cloudy,5,2017,5
10/10/16,Buccaneers,17,Panthers,14,57 F,Clear,2,2016,5
10/5/14,Bills,17,Lions,14,53 F,Overcast,11,2014,5
10/9/11,Packers,25,Falcons,14,69 F,Overcast,15,2011,5
10/11/09,Bengals,17,Ravens,14,66 F,Fair,4,2009,5
10/9/22,49ers,37,Panthers,15,65 F,Partly Cloudy,6,2022,5
10/8/17,Titans,10,Dolphins,16,89 F,Clear,6,2017,5
10/9/16,Falcons,23,Broncos,16,73 F,Mostly Cloudy,1,2016,5
10/7/12,Eagles,14,Steelers,16,47 F,Light Rain,7,2012,5
10/6/24,Cowboys,20,Steelers,17,79 F,Thunderstorms,12,2024,5
10/8/23,Ravens,10,Steelers,17,50 F,Mostly Cloudy,13,2023,5
10/9/23,Packers,13,Raiders,17,92 F,Mostly Cloudy,10,2023,5
10/9/22,Titans,21,Washington,17,62 F,Clear,7,2022,5
10/9/22,Eagles,20,Cardinals,17,87 F,Clear,6,2022,5
10/7/21,Rams,26,Seahawks,17,55 F,Clear,5,2021,5
10/10/21,49ers,10,Cardinals,17,82 F,Clear,3,2021,5
10/8/17,Ravens,30,Raiders,17,75 F,Clear,3,2017,5
10/9/17,Vikings,20,Bears,17,64 F,Clear,3,2017,5
10/9/16,Titans,30,Dolphins,17,87 F,Clear,12,2016,5
10/11/15,Bears,18,Chiefs,17,80 F,Clear,11,2015,5
10/11/15,Cardinals,42,Lions,17,69 F,Clear,15,2015,5
10/6/14,Seahawks,27,Washington,17,63 F,Partly Cloudy,11,2014,5
10/6/13,Chiefs,26,Titans,17,63 F,Light Rain,6,2013,5
10/4/12,Cardinals,3,Rams,17,61 F,A Few Clouds,11,2012,5
10/7/12,Falcons,24,Washington,17,52 F,Overcast,N/A,2012,5
10/8/12,Texans,23,Jets,17,51 F,Fair,3,2012,5
10/8/23,Texans,19,Falcons,18,63 F,Clear,8,2023,5
10/10/21,Eagles,21,Panthers,18,74 F,Partly Cloudy,9,2021,5
10/7/18,Cardinals,28,49ers,18,76 F,Clear,9,2018,5
10/6/13,Saints,26,Bears,18,61 F,Mostly Cloudy,12,2013,5
10/6/24,Packers,24,Rams,19,72 F,Clear,6,2024,5
10/9/22,Bengals,17,Ravens,19,54 F,Clear,3,2022,5
10/10/21,Lions,17,Vikings,19,67 F,Partly Cloudy,10,2021,5
10/10/21,Titans,37,Jaguars,19,78 F,Mostly Cloudy,6,2021,5
10/7/18,Cowboys,16,Texans,19,81 F,Humid And Partly Cloudy,6,2018,5
10/9/16,Bills,30,Rams,19,87 F,Clear,5,2016,5
10/6/24,Giants,29,Seahawks,20,60 F,Clear,3,2024,5
10/5/23,Bears,40,Washington,20,66 F,Clear,0,2023,5
10/8/23,Jaguars,25,Bills,20,70 F,Clear,8,2023,5
10/8/23,Bengals,34,Cardinals,20,97 F,Partly Cloudy,5,2023,5
10/8/23,Chiefs,27,Vikings,20,60 F,Mostly Cloudy,10,2023,5
10/10/21,Bills,38,Chiefs,20,69 F,Mostly Cloudy,7,2021,5
10/8/17,Bills,16,Bengals,20,63 F,Rain,N/A,2017,5
10/8/15,Colts,27,Texans,20,76 F,Mostly Cloudy,2,2015,5
10/12/15,Steelers,24,Chargers,20,76 F,Partly Cloudy,5,2015,5
10/5/14,Texans,17,Cowboys,20,81 F,Clear,0,2014,5
10/5/14,Ravens,13,Colts,20,57 F,Overcast And Breezy,19,2014,5
10/9/11,Raiders,25,Texans,20,76 F,Overcast,9,2011,5
10/9/11,Bengals,30,Jaguars,20,79 F,Mostly Cloudy And Breezy,20,2011,5
10/11/09,Cowboys,26,Chiefs,20,39 F,Overcast,11,2009,5
10/11/09,Steelers,28,Lions,20,45 F,Fair,10,2009,5
10/11/09,Washington,17,Panthers,20,64 F,Overcast,6,2009,5
10/11/09,Patriots,17,Broncos,20,28 F,Overcast With Haze,3,2009,5
10/8/23,Jets,31,Broncos,21,73 F,Clear,7,2023,5
10/9/22,Falcons,15,Buccaneers,21,84 F,Partly Cloudy,3,2022,5
10/7/18,Vikings,23,Eagles,21,78 F,Mostly Cloudy,3,2018,5
10/6/16,Cardinals,33,49ers,21,72 F,Clear,7,2016,5
10/6/13,Eagles,36,Giants,21,69 F,Fog/Mist,9,2013,5
10/9/22,Giants,27,Packers,22,62 F,Partly Cloudy,12,2022,5
10/10/21,Packers,25,Bengals,22,78 F,Partly Cloudy,9,2021,5
10/10/21,Saints,33,Washington,22,70 F,Overcast,9,2021,5
10/10/21,Patriots,25,Texans,22,86 F,Humid And Partly Cloudy,15,2021,5
10/8/17,Chargers,27,Giants,22,74 F,Humid And Mostly Cloudy,4,2017,5
10/5/14,Chiefs,17,49ers,22,88 F,A Few Clouds,6,2014,5
10/6/13,Lions,9,Packers,22,61 F,Fair,12,2013,5
10/6/13,Panthers,6,Cardinals,22,90 F,Fair,0,2013,5
10/6/24,Jets,17,Vikings,23,59 F,Cloudy,9,2024,5
10/6/24,Bills,20,Texans,23,87 F,Partly Cloudy,11,2024,5
10/6/24,Cardinals,24,49ers,23,91 F,Clear,6,2024,5
10/8/23,Titans,16,Colts,23,53 F,Overcast,8,2023,5
10/6/19,Ravens,26,Steelers,23,68 F,Drizzle,3,2019,5
10/6/19,Cardinals,26,Bengals,23,76 F,Mostly Cloudy,6,2019,5
10/9/16,Giants,16,Packers,23,48 F,Clear,2,2016,5
10/6/13,Ravens,26,Dolphins,23,87 F,A Few Clouds,6,2013,5
10/6/19,Bears,21,Raiders,24,60 F,Mostly Cloudy,16,2019,5
10/6/19,Packers,34,Cowboys,24,96 F,Partly Cloudy,5,2019,5
10/8/17,Panthers,27,Lions,24,70 F,Clear,4,2017,5
10/9/16,Eagles,23,Lions,24,58 F,Partly Cloudy,6,2016,5
10/11/15,Rams,10,Packers,24,73 F,Clear,15,2015,5
10/9/11,Chiefs,28,Colts,24,77 F,Mostly Cloudy,5,2011,5
10/9/11,Chargers,29,Broncos,24,54 F,Mostly Cloudy,0,2011,5
10/10/11,Bears,13,Lions,24,63 F,Fair,3,2011,5
10/11/15,Washington,19,Falcons,25,71 F,Partly Cloudy,2,2015,5
10/9/11,Seahawks,36,Giants,25,80 F,Fair,5,2011,5
10/7/24,Saints,13,Chiefs,26,71 F,Clear,0,2024,5
10/7/18,Raiders,10,Chargers,26,74 F,Clear,5,2018,5
10/8/17,49ers,23,Colts,26,68 F,Light Rain,6,2017,5
10/10/21,Jets,20,Falcons,27,63 F,Mostly Cloudy,8,2021,5
10/10/21,Broncos,19,Steelers,27,73 F,Clear,2,2021,5
10/7/18,Dolphins,17,Bengals,27,86 F,Clear,2,2018,5
10/11/15,Seahawks,24,Bengals,27,72 F,Clear,7,2015,5
10/6/13,Chargers,17,Raiders,27,63 F,Partly Cloudy,0,2013,5
10/9/11,Saints,30,Panthers,27,75 F,Mostly Cloudy,11,2011,5
10/9/22,Chargers,30,Browns,28,60 F,Clear,11,2022,5
10/9/16,Bengals,14,Cowboys,28,74 F,Clear,3,2016,5
10/5/14,Browns,29,Titans,28,71 F,Mostly Cloudy,13,2014,5
10/7/13,Jets,30,Falcons,28,59 F,Fair,0,2013,5
10/11/09,Texans,21,Cardinals,28,77 F,A Few Clouds,0,2009,5
10/9/22,Bears,22,Vikings,29,61 F,Clear,1,2022,5
10/9/22,Lions,0,Patriots,29,59 F,Clear,10,2022,5
10/9/16,Bears,23,Colts,29,65 F,Clear,0,2016,5
,,,,,,,,,
10/10/22,Raiders,29,Chiefs,30,72 F,Partly Cloudy,4,2022,5
10/3/19,Rams,29,Seahawks,30,55 F,Overcast,5,2019,5
10/7/18,Jaguars,14,Chiefs,30,58 F,Rain,2,2018,5
10/11/15,Browns,33,Ravens,30,68 F,Clear,0,2015,5
10/11/15,49ers,27,Giants,30,57 F,Clear,3,2015,5
10/5/14,Falcons,20,Giants,30,61 F,Fair,6,2014,5
10/7/12,Packers,27,Colts,30,48 F,Overcast,9,2012,5
10/7/12,Titans,7,Vikings,30,47 F,Partly Cloudy,8,2012,5
10/9/11,Jets,21,Patriots,30,84 F,Fair,5,2011,5
10/8/23,Giants,16,Dolphins,31,87 F,Mostly Cloudy,9,2023,5
10/11/21,Colts,25,Ravens,31,67 F,Mostly Cloudy,4,2021,5
10/6/19,Buccaneers,24,Saints,31,87 F,Humid And Partly Cloudy,7,2019,5
10/6/19,Jets,6,Eagles,31,70 F,Overcast,7,2019,5
10/7/19,Browns,3,49ers,31,87 F,Clear,6,2019,5
10/7/18,Packers,23,Lions,31,60 F,Overcast,7,2018,5
10/7/18,Rams,33,Seahawks,31,54 F,Drizzle,3,2018,5
10/8/17,Packers,35,Cowboys,31,88 F,Clear,2,2017,5
10/9/16,Texans,13,Vikings,31,53 F,Clear,4,2016,5
10/9/16,Jets,13,Steelers,31,57 F,Partly Cloudy,6,2016,5
10/5/14,Bears,24,Panthers,31,63 F,A Few Clouds,7,2014,5
10/5/14,Jets,0,Chargers,31,83 F,Na,6,2014,5
10/7/12,Broncos,21,Patriots,31,53 F,Overcast,0,2012,5
10/7/12,Chargers,24,Saints,31,63 F,A Few Clouds,13,2012,5
10/9/11,Eagles,24,Bills,31,75 F,A Few Clouds,6,2011,5
10/12/09,Jets,27,Dolphins,31,84 F,Fair,4,2009,5
10/7/18,Giants,31,Panthers,33,80 F,Overcast,1,2018,5
10/11/09,Buccaneers,14,Eagles,33,62 F,Partly Cloudy,6,2009,5
10/6/24,Browns,13,Washington,34,74 F,Partly Cloudy,6,2024,5
10/6/24,Raiders,18,Broncos,34,68 F,Clear,9,2024,5
10/6/19,Jaguars,27,Panthers,34,74 F,Overcast,1,2019,5
10/7/18,Broncos,16,Jets,34,75 F,Overcast,4,2018,5
10/8/17,Cardinals,7,Eagles,34,77 F,Light Rain,3,2017,5
10/8/17,Chiefs,42,Texans,34,83 F,Clear,2,2017,5
10/9/16,Chargers,31,Raiders,34,78 F,Clear,4,2016,5
10/5/14,Rams,28,Eagles,34,60 F,Partly Cloudy,6,2014,5
10/6/13,Jaguars,20,Rams,34,57 F,Mostly Cloudy,13,2013,5
10/6/13,Seahawks,28,Colts,34,56 F,Overcast,9,2013,5
10/6/13,Texans,3,49ers,34,73 F,A Few Clouds,N/A,2013,5
10/9/11,Cardinals,10,Vikings,34,79 F,Partly Cloudy,5,2011,5
10/3/24,Buccaneers,30,Falcons,36,79 F,Clear,6,2024,5
10/6/24,Panthers,10,Bears,36,73 F,Clear,14,2024,5
10/6/24,Colts,34,Jaguars,37,76 F,Overcast,10,2024,5
10/5/14,Buccaneers,31,Saints,37,77 F,A Few Clouds,5,2014,5
10/3/13,Bills,24,Browns,37,63 F,Light Rain,N/A,2013,5
10/6/24,Ravens,41,Bengals,38,84 F,Clear,14,2024,5
10/9/22,Steelers,3,Bills,38,53 F,Partly Cloudy,16,2022,5
10/4/18,Colts,24,Patriots,38,66 F,Mostly Cloudy,3,2018,5
10/11/15,Jaguars,31,Buccaneers,38,83 F,Clear,9,2015,5
10/9/11,Titans,17,Steelers,38,78 F,Fair,0,2011,5
10/9/22,Seahawks,32,Saints,39,73 F,Clear,7,2022,5
10/11/15,Saints,17,Eagles,39,67 F,Clear,4,2015,5
10/9/22,Dolphins,17,Jets,40,61 F,Clear,10,2022,5
10/7/18,Falcons,17,Steelers,41,82 F,Partly Cloudy,6,2018,5
10/5/14,Cardinals,20,Broncos,41,72 F,Partly Cloudy,8,2014,5
10/7/12,Browns,27,Giants,41,52 F,Overcast,4,2012,5
10/11/09,Jaguars,0,Seahawks,41,54 F,Fair,3,2009,5
10/8/23,Panthers,24,Lions,42,52 F,Clear,15,2023,5
10/8/23,Cowboys,10,49ers,42,79 F,Clear,9,2023,5
10/2/14,Vikings,10,Packers,42,63 F,Fog/Mist,7,2014,5
10/8/18,Washington,19,Saints,43,77 F,Light Rain,5,2018,5
10/5/14,Bengals,17,Patriots,43,35 F,Fog,0,2014,5
10/10/21,Giants,20,Cowboys,44,88 F,Partly Cloudy,16,2021,5
10/11/09,Raiders,7,Giants,44,61 F,Fair,10,2009,5
10/10/21,Dolphins,17,Buccaneers,45,84 F,Clear,5,2021,5
10/7/12,Bills,3,49ers,45,70 F,Mostly Cloudy,N/A,2012,5
10/10/21,Browns,42,Chargers,47,76 F,Clear,5,2021,5
10/6/13,Broncos,51,Cowboys,48,75 F,Clear,7,2013,5
10/9/11,Buccaneers,3,49ers,48,66 F,Partly Sunny,6,2011,5
10/6/19,Falcons,32,Texans,53,88 F,Mostly Cloudy,6,2019,5
10/8/20,Buccaneers,19,Bears,20,57 F,Clear,6,2020,5
10/11/20,Rams,30,Washington,10,70 F,Possible Drizzle,3,2020,5
10/11/20,Eagles,29,Steelers,38,69 F,Mostly Cloudy,5,2020,5
10/11/20,Cardinals,30,Jets,10,65 F,Mostly Cloudy,7,2020,5
10/11/20,Raiders,40,Chiefs,32,77 F,Clear,12,2020,5
10/11/20,Jaguars,14,Texans,30,85 F,Humid,7,2020,5
10/11/20,Bengals,3,Ravens,27,69 F,Mostly Cloudy,5,2020,5
10/11/20,Panthers,23,Falcons,16,71 F,Light Rain,8,2020,5
10/11/20,Dolphins,43,49ers,17,73 F,Clear,8,2020,5
10/11/20,Giants,34,Cowboys,37,94 F,Clear,10,2020,5
10/11/20,Colts,23,Browns,32,63 F,Mostly Cloudy,13,2020,5
10/11/20,Vikings,26,Seahawks,27,56 F,Drizzle,13,2020,5
10/12/20,Chargers,27,Saints,30,80 F,Clear,5,2020,5
10/13/20,Bills,16,Titans,42,66 F,Clear,2,2020,5
10/10/10,Buccaneers,24,Bengals,21,78 F,Fair,0,2010,5
10/10/10,Falcons,20,Browns,10,66 F,Fair,8,2010,5
10/10/10,Giants,34,Texans,10,79 F,A Few Clouds,3,2010,5
10/10/10,Chiefs,9,Colts,19,80 F,A Few Clouds,0,2010,5
10/10/10,Packers,13,Washington,16,69 F,Fair,3,2010,5
,,,,,,,,,
10/10/10,Jaguars,36,Bills,26,63 F,Partly Cloudy,9,2010,5
10/10/10,Broncos,17,Ravens,31,70 F,Mostly Sunny,7,2010,5
10/10/10,Bears,23,Panthers,6,80 F,Fair,4,2010,5
10/10/10,Rams,6,Lions,44,68 F,Fair,5,2010,5
10/10/10,Saints,20,Cardinals,30,84 F,A Few Clouds,3,2010,5
10/10/10,Chargers,27,Raiders,35,71 F,A Few Clouds,5,2010,5
10/10/10,Titans,34,Cowboys,27,84 F,Clear,13,2010,5
10/10/10,Eagles,27,49ers,24,75 F,Fair And Breezy,20,2010,5
10/11/10,Vikings,20,Jets,29,70 F,A Few Clouds,5,2010,5
10/14/18,Ravens,21,Titans,0,66 F,Overcast,3,2018,6
11/14/24,Washington,7,Eagles,0,46 F,Overcast,13,2010,6
10/14/18,Seahawks,27,Raiders,3,50 F,Light Rain,12,2018,6
10/12/14,Lions,17,Vikings,3,61 F,Partly Cloudy And Breezy,20,2014,6
10/14/12,Giants,26,49ers,3,77 F,Clear,N/A,2012,6
10/18/09,Cardinals,27,Seahawks,3,60 F,Overcast,8,2009,6
10/15/23,Lions,20,Buccaneers,6,77 F,Partly Cloudy,16,2023,6
10/13/19,Saints,13,Jaguars,6,80 F,Mostly Cloudy,10,2019,6
10/13/13,Steelers,19,Jets,6,65 F,Fair,10,2013,6
10/18/09,Chiefs,14,Washington,6,44 F,Overcast,12,2009,6
10/13/24,Bengals,17,Giants,7,63 F,Clear,0,2024,6
10/13/22,Washington,12,Bears,7,47 F,Partly Cloudy,14,2022,6
10/13/19,49ers,20,Rams,7,72 F,Clear,5,2019,6
10/13/24,Lions,47,Cowboys,9,95 F,Clear,8,2024,6
10/16/22,Jets,27,Packers,10,48 F,Overcast,10,2022,6
10/15/17,Giants,23,Broncos,10,53 F,Clear,0,2017,6
10/16/16,Chiefs,26,Raiders,10,61 F,Light Rain,5,2016,6
10/18/15,Dolphins,38,Titans,10,60 F,Clear,6,2015,6
10/13/13,Panthers,35,Vikings,10,58 F,Mostly Cloudy,5,2013,6
10/17/21,Bengals,34,Lions,11,58 F,Clear,12,2021,6
10/17/21,Rams,38,Giants,11,62 F,Partly Cloudy,10,2021,6
10/13/24,Steelers,32,Raiders,13,84 F,Clear,5,2024,6
10/15/23,Vikings,19,Bears,13,55 F,Mostly Cloudy,11,2023,6
10/17/21,Chiefs,31,Washington,13,61 F,Clear,13,2021,6
10/11/18,Eagles,34,Giants,13,70 F,Light Rain,1,2018,6
10/15/17,Steelers,19,Chiefs,13,60 F,Clear,6,2017,6
10/12/14,Bears,27,Falcons,13,76 F,Fair,7,2014,6
10/13/13,Rams,38,Texans,13,76 F,Overcast,5,2013,6
10/16/11,Eagles,20,Washington,13,69 F,Fair,9,2011,6
10/18/09,Eagles,9,Raiders,13,62 F,Mostly Cloudy,13,2009,6
10/18/09,Bills,16,Jets,13,44 F,Overcast,17,2009,6
10/15/23,Giants,9,Bills,14,47 F,Overcast,7,2023,6
10/17/21,Packers,24,Bears,14,60 F,Clear,9,2021,6
10/17/21,Cardinals,37,Browns,14,59 F,Mostly Cloudy,14,2021,6
10/14/18,Chargers,38,Browns,14,55 F,Clear,1,2018,6
10/16/22,Patriots,38,Browns,15,64 F,Clear,9,2022,6
10/13/24,Chargers,23,Broncos,16,61 F,Partly Cloudy,8,2024,6
10/15/23,Ravens,24,Titans,16,52 F,Clear,8,2023,6
10/15/23,Washington,24,Falcons,16,61 F,Overcast,13,2023,6
10/16/22,Vikings,24,Dolphins,16,84 F,Humid And Partly Cloudy,12,2022,6
10/13/19,Washington,17,Dolphins,16,83 F,Humid And Overcast,9,2019,6
10/13/19,Titans,0,Broncos,16,71 F,Clear,4,2019,6
10/15/17,Chargers,17,Raiders,16,75 F,Dry,1,2017,6
10/16/16,Jaguars,17,Bears,16,67 F,Overcast,3,2016,6
10/16/16,Cowboys,30,Packers,16,67 F,Clear,4,2016,6
10/18/15,Chiefs,10,Vikings,16,62 F,Clear,15,2015,6
10/12/14,Jaguars,14,Titans,16,74 F,Mostly Cloudy,7,2014,6
10/14/12,Bills,19,Cardinals,16,90 F,Fair,5,2012,6
10/13/24,Colts,20,Titans,17,81 F,Clear,13,2024,6
10/15/23,Seahawks,13,Bengals,17,56 F,Overcast,9,2023,6
10/16/23,Cowboys,20,Chargers,17,76 F,Clear,7,2023,6
10/13/19,Steelers,24,Chargers,17,67 F,Clear,7,2019,6
10/15/17,Dolphins,20,Falcons,17,77 F,Partly Cloudy,3,2017,6
10/15/17,Patriots,24,Jets,17,71 F,Mostly Cloudy,5,2017,6
10/15/17,Rams,27,Jaguars,17,84 F,Partly Cloudy,7,2017,6
10/12/14,Broncos,31,Jets,17,64 F,Fair,3,2014,6
10/12/14,Ravens,48,Buccaneers,17,87 F,Mostly Cloudy,4,2014,6
10/13/14,49ers,31,Rams,17,64 F,A Few Clouds,11,2014,6
10/13/13,Lions,31,Browns,17,67 F,Overcast,N/A,2013,6
10/13/13,Packers,19,Ravens,17,68 F,Areas Drizzle,0,2013,6
10/14/12,Rams,14,Dolphins,17,85 F,Mostly Cloudy,17,2012,6
10/16/11,Jaguars,13,Steelers,17,64 F,Mostly Cloudy,19,2011,6
10/18/09,Texans,28,Bengals,17,48 F,Fair,0,2009,6
10/12/23,Broncos,8,Chiefs,19,72 F,Overcast,20,2023,6
10/15/23,49ers,17,Browns,19,55 F,Overcast,18,2023,6
10/16/22,Cardinals,9,Seahawks,19,77 F,Clear,3,2022,6
10/17/22,Broncos,16,Chargers,19,71 F,Clear,7,2022,6
10/14/13,Colts,9,Chargers,19,65 F,Na,3,2013,6
10/16/11,49ers,25,Lions,19,52 F,Partly Cloudy,12,2011,6
10/13/24,Browns,16,Eagles,20,72 F,Clear,7,2024,6
10/13/24,Falcons,38,Panthers,20,81 F,Clear,9,2024,6
10/14/24,Bills,23,Jets,20,48 F,Clear,14,2024,6
10/15/23,Saints,13,Texans,20,69 F,Clear,15,2023,6
10/15/23,Eagles,14,Jets,20,58 F,Overcast,11,2023,6
10/16/22,Buccaneers,18,Steelers,20,61 F,Clear,2,2022,6
10/16/22,Bills,24,Chiefs,20,64 F,Partly Cloudy,13,2022,6
10/14/18,Bills,13,Texans,20,87 F,Partly Cloudy,9,2018,6
10/14/18,Rams,23,Broncos,20,24 F,Overcast,2,2018,6
,,,,,,,,,
,,,,,,,,,
10/18/15,Texans,31,Jaguars,20,70 F,Mostly Cloudy,13,2015,6
10/13/13,Eagles,31,Buccaneers,20,84 F,Mostly Cloudy,4,2013,6
10/13/13,Titans,13,Seahawks,20,57 F,Partly Cloudy,3,2013,6
10/16/11,Cowboys,16,Patriots,20,63 F,A Few Clouds,6,2011,6
10/13/24,Texans,41,Patriots,21,48 F,Overcast,3,2024,6
10/15/23,Patriots,17,Raiders,21,77 F,Clear,0,2023,6
10/14/18,Steelers,28,Bengals,21,51 F,Mostly Cloudy,2,2018,6
